"Date","Price","Open","High","Low","Change %"
"Nov 99","102.03","104.09","106.63","101.22","-1.90%"
"Oct 99","104.01","106.29","108.03","103.62","-2.15%"
"Sep 99","106.30","109.70","111.44","103.15","-3.10%"
"Aug 99","109.70","114.83","116.37","108.99","-4.16%"
"Jul 99","114.46","121.08","122.90","114.25","-5.44%"
"Jun 99","121.04","121.49","122.62","117.61","-0.39%"
"May 99","121.52","119.50","124.82","119.37","1.70%"
"Apr 99","119.49","118.82","122.02","117.40","0.53%"
"Mar 99","118.86","119.29","123.77","116.84","-0.26%"
"Feb 99","119.17","115.84","122.54","111.30","2.45%"
"Jan 99","116.32","113.62","116.85","108.21","2.31%"
"Dec 98","113.69","122.89","123.22","113.15","-7.53%"
"Nov 98","122.95","115.31","124.12","114.40","6.18%"
"Oct 98","115.79","136.48","136.90","111.65","-15.16%"
"Sep 98","136.48","139.15","139.92","130.45","-1.90%"
"Aug 98","139.12","144.84","147.68","139.00","-3.74%"
"Jul 98","144.53","138.91","144.90","137.43","4.08%"
"Jun 98","138.86","138.69","146.80","133.65","0.01%"
"May 98","138.84","132.84","139.27","131.25","4.49%"
"Apr 98","132.87","133.09","135.49","127.55","-0.18%"
"Mar 98","133.11","125.99","133.77","124.72","5.53%"
"Feb 98","126.14","126.34","129.02","122.35","-0.75%"
"Jan 98","127.09","130.48","134.42","124.30","-2.68%"
"Dec 97","130.59","127.78","131.57","125.70","2.11%"
"Nov 97","127.89","120.31","128.07","119.85","6.21%"
"Oct 97","120.41","120.34","122.66","118.65","0.02%"
"Sep 97","120.39","121.14","123.10","118.16","-0.41%"
"Aug 97","120.88","118.54","121.26","114.25","1.91%"
"Jul 97","118.61","114.64","119.02","111.90","3.44%"
"Jun 97","114.66","116.06","116.97","110.51","-1.35%"
"May 97","116.23","127.06","127.52","111.88","-8.55%"
"Apr 97","127.09","123.82","127.19","121.35","2.54%"
"Mar 97","123.94","120.24","124.56","119.95","2.92%"
"Feb 97","120.42","121.23","124.89","119.90","-0.77%"
"Jan 97","121.36","116.01","122.87","114.85","4.72%"
"Dec 96","115.89","113.76","116.47","111.73","1.69%"
"Nov 96","113.96","114.06","114.72","110.55","-0.07%"
"Oct 96","114.04","111.34","114.92","110.76","2.89%"
"Sep 96","110.84","108.91","110.98","108.57","1.77%"
"Aug 96","108.91","106.80","108.97","106.35","1.94%"
"Jul 96","106.84","109.69","111.22","106.28","-2.64%"
"Jun 96","109.74","108.04","110.02","107.35","1.51%"
"May 96","108.11","105.01","108.99","104.16","2.80%"
"Apr 96","105.17","107.32","109.04","103.75","-2.02%"
"Mar 96","107.34","105.12","107.34","104.84","2.07%"
"Feb 96","105.16","106.93","107.47","103.30","-1.66%"
"Jan 96","106.94","103.40","107.55","103.07","3.29%"
